method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-B,2024-11,1,500,500.0,8,0.7686673661770136,0.6477910797207502,0.4224742607954221,0.01,0.002304782168020885
dynec,City-B,2024-12,1,500,500.0,8,0.7627265973758128,0.6402128717400469,0.45744147500682225,0.012,0.0037172792059233196
dynec,City-C,2024-01,1,650,,8,0.984299707448399,0.728815258551355,0.3824355101640521,,
dynec,City-C,2024-02,1,650,650.0,8,0.9883293508775121,0.7412692691004236,0.3519986711913172,0.0015384615384615385,0.009541469410099968
dynec,City-C,2024-03,1,650,650.0,8,0.94974156669406,0.753404114770241,0.3319959119487363,0.004615384615384616,0.006107545423438929
dynec,City-C,2024-04,1,650,650.0,8,0.8832143179592348,0.7562919644189051,0.33444163972925356,0.006153846153846154,0.006980439378854417
dynec,City-C,2024-05,1,650,650.0,8,0.8294168161517045,0.7698690732841993,0.31397750585179307,0.010769230769230769,0.016451468856701713
dynec,City-C,2024-06,1,650,650.0,8,0.76856879292518,0.7390773487032911,0.34349761318375593,0.004615384615384616,0.009839642772013655
dynec,City-C,2024-07,1,650,650.0,8,0.7209695539308986,0.7009928668134566,0.3956847924205362,0.007692307692307693,0.00916899285287025
dynec,City-C,2024-08,1,650,650.0,8,0.6640781090509154,0.7208300313441904,0.39138023961753005,0.007692307692307693,0.0028607639533163535
dynec,City-C,2024-09,1,650,650.0,8,0.6430954168493185,0.7311307124800831,0.363769073651204,0.007692307692307693,0.007498302111103991
dynec,City-C,2024-10,1,650,650.0,8,0.637056423748549,0.742077213609189,0.36014549135311646,0.007692307692307693,0.0033481244629529772
dynec,City-C,2024-11,1,650,650.0,8,0.6337251433170052,0.7402340271340322,0.3482906236877117,0.007692307692307693,0.0023509297378611497
dynec,City-C,2024-12,1,650,650.0,8,0.6405934369125571,0.7350733846101164,0.3874060470046497,0.004615384615384616,0.002826766222215163
kmeans,City-A,2024-01,2,800,,8,0.5644662199950585,0.4408731332261023,0.8701264253980756,,
kmeans,City-A,2024-02,2,800,800.0,8,0.5580724557444865,0.4749147770231611,0.8705342241942625,0.1525,1.369043605217361
kmeans,City-A,2024-03,2,800,800.0,8,0.5146056413772572,0.42626825242670807,0.9402581192304236,0.21625,1.9413487188737988
kmeans,City-A,2024-04,2,800,800.0,8,0.536731316884351,0.4763929245017753,0.7841839140573208,0.295,2.648313859272928
kmeans,City-A,2024-05,2,800,800.0,8,0.3263236559843974,0.3576936290930679,1.0154950587908655,0.49125,4.410115875823139
kmeans,City-A,2024-06,2,800,800.0,8,0.43067896021701,0.4418432466412449,0.8569638599553637,0.40875,3.6694857287383367
